Image,Name,String,English,Marathi,Hindi,Malayalam,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu,Manipuri,Konkani,Portuguese (completed in June 25),Manipuri_meitei,Nepali
9,,String 2,"Are there different strains of novel coronavirus, and will a vaccine work against all of them?",नवीन कोरोना विषाणूचे वेगवेगळे उपप्रकार आहेत आणि लस त्या सर्वांवर काम करेल?,"क्या  कोरोनोवायरस के अलग-अलग उपभेद हैं, और क्या टीका उन सभी के खिलाफ काम करेगा?",നോവൽ കൊറോണവൈറസിന് ഒന്നിലധികം സ്ട്രെയിനുകൾ ഉണ്ടോ? ഒരു രോഗപ്രതിരോധ കുത്തിവെപ്പ് ഇവയ്‌ക്കെല്ലാമെതിരെ ഫലപ്രദമാകുമോ? ,,નાૅવલ કોરોનાવાયરસ ના વિભિન્ન પ્રકાર કે સ્ટ્રેન છે. કોઈ એક ટીકા આ બધા થી લડી શકશે?,ਨਾਵਲ ਕੋਰੋਨਾਵਿਰੁਸ ਦੇ ਕਿੰਨੇ ਪ੍ਰਕਾਰ ਨੇ ਤੇ ਉਨਾਂ ਸਾਰਿਆਂ ਦੇ ਖਿਲ਼ਾਫ ਵੈਕਸੀਨ ਕਿਵੇਂ ਕਾਮ ਕਰੇਗੀ?,உருவாகியுள்ள பல்வேறு துணையின நாவல் கொரோனா வைரஸ் களுக்கு எதிராக தடுப்பூசி பலன் தருமா?,,,,নতুন কৰ'না ভাইৰাছৰ বিভিন্ন প্ৰকাৰ আছেনে আৰু একোটা টীকাই এই সকলোবোৰৰ বিৰুদ্ধে কাম কৰিবনে?,,کیا ناول کوروناوائرس کے مختلف اسٹرین ہیں ، اور کیا ان سب کے خلاف کوئی ٹیکہ کام کرے گا؟,,कोरोनाविष्णूचे वेग-वेगळे प्रकार आसतात? एक वाशीन ह्या सगळ्यांविरुद्ध काम करतलें?,Há novas cepas do novo coronavirus? Uma vacina atuará contra todos eles? ,,के नोवेल कोरोन भाईरसका विभिन्न प्रकार छन् साथै एउटै खोपले सबैलाई काम गर्छ?
9,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
9,,String 4,"So far, there is no evidence for the existence of multiple strains of the novel coronavirus. Even if many strains do arise, vaccine efficacy may not change. More research is needed on the effects of mutations observed in the virus.",अजूनपर्यंत नवीन कोरोनाविषाणूचे उपप्रकार असल्याचा कोणताही पुरावा नाही. जरी उपप्रकार असले तरी लसीचा प्रभावीपणा कमी होणार नाही. विषाणूच्या जनुकातील बदलांबद्दल अभ्यास करण्यासाठी अधिक संशोधनाची गरज आहे.,"अब तक,  कोरोनवायरस के कई उपभेदों के अस्तित्व के लिए कोई सबूत नहीं है। भले ही कई उपभेद उत्पन्न होते हैं, टीका प्रभावकारिता नहीं बदल सकती है। वायरस में देखे गए म्यूटेशन के प्रभावों पर अधिक शोध की आवश्यकता है।",നോവൽ കൊറോണവൈറസിന് ഒന്നിലധികം സ്ട്രെയിനുകളുള്ളതിന് ഇതുവരെ തെളിവൊന്നുമില്ല. എന്നാൽ ഇങ്ങനെ ഒന്നിലധികം സ്ട്രെയിനുകളുണ്ടായായാലും വാക്സിനുകളുടെ ഫലപ്രാപ്തി കുറയണമെന്നില്ല. വൈറസിലെ മ്യൂട്ടേഷനുകളുടെ ഫലത്തെക്കുറിച്ച് കൂടുതൽ ഗവേഷണം ആവശ്യമാണ്.,,"હમણાં સુધી, નાૅવલ કોરોનાવાયરસ ના વિભિન્ન પ્રકાર કે સ્ટ્રેન છે એ વાત ના કોઈ પુરાવા નથી. ઘણા બધા પ્રકાર કે સ્ટ્રેન પ્રકટ થઈ પણ જાય, તો પણ ટીકા ની તાસીર માં ફેરફાર નહીં થાય એ શક્ય છે. વાયરસ માં દેખાતા પ્રકારો કે સ્ટ્રેન ના અસર પર વધુ અનુસંધાન જરૂરી છે.  ",ਹਾਲੇ ਤਕ ਕੋਰੋਨਾਵਿਰੁਸ ਦੇ ਲੱਗਾ ਲੱਗਾ ਪ੍ਰਕਾਰ ਦਾ ਕੋਈ ਪ੍ਰਮਾਣ ਨਹੀਂ ਹੈ। ਜੇ ਆਂਡੇ ਵੀ ਨੇ ਤਾ ਵੀ ਹੋ ਸਕਦਾ ਹੈ ਵੈਕਸੀਨ ਦਾ ਮਹੱਤਵ ਖਤ ਨਾ ਹੋਵੇ। ਵਾਇਰਸ ਦੇ ਮੁਟੇਸ਼ਨਸ ਦੇ ਅਸਰ ਬਾਰੇ ਜਾਂਦਾ ਜਾਣਕਾਰੀ ਵਾਸਤੇ ਹੋਰ ਖੋਜ ਬੀਨ ਕਰਨੀ ਪਵੇਗੀ ।,இதுவரை பற்பல புதிய துணையின ( ஸ்ட்ரெய்ன்  ) நாவல் கொரோனா வைரஸ் உருவானதாக சான்றுகள் இல்லை. சில உருவாயினும் தடுப்பூசியின் திறன் குறையாது. வைரஸ்களில் ஏற்பட்டுவரும் திடீர் மரபணு மாற்றங்களை கூர்ந்துநோக்க மேலதிக ஆய்வுகள் தேவை.,,,,"এতিয়ালৈকে, নতুন কৰ'না ভাইৰাছৰ বিভিন্ন প্ৰকাৰ থকাৰ কোনো প্ৰমাণ পোৱা হোৱা নাই। এনে বহুতো প্ৰকাৰ ওলালেও টীকাৰ কাৰ্যকাৰিতাৰ ওপৰত কোনো প্ৰভাৱ নপৰিব পাৰে। ভাইৰাছটোত হোৱা উৎপৰিৱৰ্তনৰ প্ৰভাৱৰ বিষয়ে অধিক গৱেষণাৰ আৱশ্যক।",,ابھی تک ، ناول کوروناوائرس کے متعدد اسٹرین کے وجود کے بارے میں کوئی ثبوت موجود نہیں ہے۔ یہاں تک کہ اگر بہت سے اسٹرین پیدا ہو بھی جاتے ہیں تو ، ٹیکہ کی افادیت تبدیل نہیں ہوسکتی ہے۔ وائرس میں پائے جانے والے تغیر پزیری کے اثرات پر مزید تحقیق کی ضرورت ہے۔,,"अजूनपर्यंत, कोरोनाविष्णूचे वेग-वेगळे प्रकार आसपाचेर पुरावो ना. जरी अशे प्रकार उद्भवले, तरी कदाचित वशीनाची कार्यक्षमता न बदलत. ह्या विषाणूच्या उत्परिपरतनाबद्दल आनी संशोधन जावपाक जाय.","Por hora, não há evidências de múltiplas cepas do novo coronavirus. Mesmo que muitas cepas apareçam, a eficácia da vacina não deve mudar. Mais pesquisas são necessárias para detalhar os efeitos das mutações observadas nos vírus.",,हालसम्म नोवेल कोरोना भाईरसको भिन्न भिन्न प्रकार भेटिएको कुनै प्रमाण छैन। यद्यपि धेरै प्रकार भेटिए पनि खोपको प्रभावकारिता नघट्न सक्छ। भाईरसमा देखिने म्युटेसनको भरेमा थप अनुसन्धान हुन जरुरी छ।
10,26qna_viral_load,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
10,,String 2,"I see “viral load” and “viral shedding” in news about COVID-19. What are these, and what do they tell us?","कोविड-१९ च्या संदर्भात ""व्हायरल लोड"" आणि ""व्हायरल शेडींग"" सारखी नवे बातम्यांमध्ये दिसतात. ते नेमकं काय आहे?","मैं  COVID -19 के बारे में समाचारों में ""वायरल लोड"" और ""वायरल शेडिंग"" देखती  हूं। ये क्या हैं, और वे हमें क्या बताते हैं?",,,"કોવિડ-19 વિષયે સમાચાર માં ""વાયરલ લોડ"" અને ""વાયરલ શેડ્ડીંગ"" જેવા શબ્દ મેં જોઈઆ છે. આ શું છે અને આપણે એ શું બતાવે છે? ",ਖ਼ਬਰਾਂ ਚ 'ਵਾਇਰਲ ਲੋਡ' ਤੇ 'ਵਾਇਰਲ ਸ਼ੈਡਿੰਗ' ਬਾਰੇ ਬਹੁਤ ਸੁਨਣ ਨੂੰ ਮਿਲਦਾ ਹੈ। ਇਹ ਕੀ ਹੈ ਤੇ ਸਾਨੂੰ ਇਸਤੋਂ ਕੀ ਪਤਾ ਚਲਦਾ ਹੈ?,ஊடகங்களில் வைரஸ் சுமை மற்றும் வைரஸ் சிந்துதல் என கூறப்படுவது என்ன? அவை கூறுவது என்ன?,,,,"বাতৰিত মই ""ভাইৰাছৰ বোজা"" আৰু ""ভাইৰাছ নিৰ্গমণ"" আদি শব্দবোৰ দেখিছো। ইহঁতৰ অৰ্থ কি আৰু এইবোৰে কি বুজায়?",,"میں کوویڈ ١٩ کے بارے میں خبروں میں ""وائرل لوڈ"" اور ""وائرل شیڈنگ"" دیکھ رہا یا رہی ہوں۔ یہ کیا ہیں ، اور وہ ہمیں کیا بتاتے ہیں؟",,बातम्यांनी हांव पळयता 'वायरल लोड' आनी 'वायरल शेंडींग'. हें किदें आनी हातूत किदें कळता? ,"A mídia fala de ""carga viral"" e ""taxa de transmissão viral"". O que elas significam e o que elas querem dizer? ",,समाचारहरुमा 'भाईरल लोड' तथा भाईरल शेडिङ्ग' जस्ता कुराहरु देख्छु। यी के हुन् त यिनले हाम्लाई के बताउछन?
10,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
10,,String 4,"‘Viral load’ refers to the number of viral particles in a patient’s body. Higher viral load usually indicates more severe infection. ‘Viral shedding’ refers to the release of virus particles from a patient’s body, which can transmit the infection to other people.","""व्हायरल लोड"" म्हणजे एखाद्या व्यक्तीच्या शरीरातील विषाणूंची संख्या. जास्त व्हायरल लोड म्हणजे अधिक तीव्र आजार. ""व्हायरल शेडींग"" म्हणजे एखाद्याच्या शरीरातील विषाणू बाहेर सोडण्याची क्रिया, ज्यामुळे इतरांना रोगाची लागण होऊ शकते.","कोरोनावायरस रक्त के थक्के, स्ट्रोक और गुर्दे की विफलता का कारण कैसे बनता है?
‘वायरल लोड’ एक मरीज के शरीर में वायरल कणों की संख्या को संदर्भित करता है। उच्च वायरल लोड आमतौर पर अधिक गंभीर संक्रमण की तरफ इशारा  करता है। ‘वायरल शेडिंग’ एक मरीज के शरीर से वायरस कणों की रिहाई को संदर्भित करता है, जो अन्य लोगों को संक्रमण पहुंचा सकता है।",,,"""વાયરલ લોડ"" એટલે કે બીમાર વ્યક્તિ ના શરીર માં ના વાયરલ કણ ની ગણના. ઊંચુ વાયરલ લોડ વધારે ગંભીર ચેપ છે તે બતાવે છે. ""વાયરલ શેડ્ડીંગ"" એટલે એ વાયરસ ના કણ જે બીમાર વ્યક્તિ ના શરીર થી બાહેર નીકળે છે, અને જે બીજા લોકો માં ફેલી ચેપ લગાડી શકે છે. ","
‘ਵਾਇਰਲ ਲੋਡ’ ਮਰੀਜ਼ ਦੇ ਸਰੀਰ ਵਿਚ ਵਾਇਰਲ ਕਣਾਂ ਦੀ ਗਿਣਤੀ ਨੂੰ ਦਰਸਾਉਂਦਾ ਹੈ। ਵੱਧ ਵਾਇਰਲ ਲੋਡ ਆਮ ਤੌਰ ਤੇ ਵਧੇਰੇ ਗੰਭੀਰ ਲਾਗ ਦਾ ਸੰਕੇਤ ਕਰਦਾ ਹੈ। ‘ਵਾਇਰਲ ਸ਼ੈਡਿੰਗ’ ਦਾ ਅਰਥ ਮਰੀਜ਼ ਦੇ ਸਰੀਰ ਤੋਂ ਵਾਇਰਸ ਦੇ ਕਣਾਂ ਨੂੰ ਛੱਡਣਾ ਹੁੰਦਾ ਹੈ, ਜੋ ਲਾਗ ਨੂੰ ਦੂਜੇ ਲੋਕਾਂ ਵਿੱਚ ਸੰਚਾਰਿਤ ਕਰ ਸਕਦਾ ਹੈ।",ஒரு நோயாளியின் உடலில் உள்ள வைரஸ் துணுக்குகளின் எண்ணிக்கை தான் வைரஸ் சுமை. கூடுதல் சுமை என்றால் பொதுவே கிருமிதாக்கம் தீவிரம் என்று பொருள். மற்றவர்களுக்கு கிருமிதாக்கம் ஏற்படுத்த வல்ல வகையில் நோயாளியின் உடலிலிருந்து அகன்று வைரஸ் வெளிப்படுவதை வைரஸ் சிந்துதல் என்கிறார்கள்.,,,,"""ভাইৰাছৰ বোজা""ৰ অৰ্থ হ'ল এজন ৰোগীৰ দেহত থকা ভাইৰাছৰ সংখ্যা। বোজা অধিক হ'লে সাধাৰণতে ৰোগ অধিক প্ৰবল হয়। ""ভাইৰাছ নিৰ্গমণ"" মানে হ'ল ৰোগীৰ শৰীৰৰ পৰা ভাইৰাছটো ওলাই যোৱা, যাৰ ফলত আন ব্যক্তিৰ গালৈ ই সংক্ৰমিত হ'ব পাৰে। ",,’وائرل لوڈ‘ سے مراد مریض کے جسم میں وائرل ذرات کی تعداد ہوتی ہے۔ زیادہ وائرل لوڈ عام طور پر زیادہ شدید انفیکشن کی نشاندہی کرتا ہے۔ ’وائرل شیڈنگ‘ سے مراد مریض کے جسم سے وائرس کے ذرات کی رہائی ہوتی ہے ، جو انفیکشن کو دوسرے لوگوں میں منتقل کرسکتی ہے۔,,वायरल लोड' म्हणजे एका रुग्णाच्या आंगान आशिल्ल्या विषाणू-अंकांची संख्या. वायरल लोड चड असत जाल्यार चडकरून  संक्रमणसुद्धा तीव्र आसता. 'वायरल शेडींग' म्हणजे विषाणू-अंक रुग्णाच्या आंगांतल्यान भायर सरपाची क्रिया; हे विषाणू-अंक दुसऱ्या लोकांक संक्रमित करू शकतात. ,"""Carga viral"" refere-se ao número de partículas virais no corpo do paciente. Cargas virais mais altas indicam um estágio mais severo da infecção. ""Taxa de transmissão viral"" refere-se a disseminação de partículas virais a partir do corpo de um paciente, que pode transmitir a infecção para outras pessoas.",,भाईरल लोड भन्नाले बिरामीको शरीरमा भएका भाईरल पर्टिकलको संख्या बताउछ। धेरै भाईरल लोड हुनु भनेको संक्रमण जटिल हुनु भन्ने हो। भाईरल शेडिङ्ग भन्नाले बिरामीको शरीरबाट अरुलाई संक्रमित गर्न सक्ने पर्टिकलहरु बुझाउछ।
11,27qna_blood_clots,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
11,,String 2,"How does novel coronavirus cause blood clots, stroke and kidney failure?","नवीन कोरोना विषाणूमुळे रक्तातील गाठी, स्ट्रोक आणि किडनी (मूत्रपिंड) निकामी कसे होते?","कोरोनावायरस रक्त के थक्के, स्ट्रोक और गुर्दे की विफलता का कारण कैसे बनता है?",,,"નાૅવલ કોરોનાવાયરસ કેવી રીતે લોહી માં થર, મસ્તિષ્ક નુ સ્ટ્રોક, કે ગુરદા ને નિષ્ક્રિય કરી શકે છે?","ਨਾਵਲ ਕੋਰੋਨਾਵਿਰੁਸ ਖੂਨ ਕਿਵੇਂ ਜਮਾਂਦਾ ਹੈ,  ਯਾ ਅਧਰੰਗ ਕਿਵੇਂ ਕਰਦਾ ਹੈ, ਤੇ ਗੁਰਦੇ ਨੂੰ ਕਿਵੇਂ ਖ਼ਰਾਬ ਕਰਦਾ ਹੈ?","கொரோனா வைரஸ் தாக்குதலால் இரத்த உறைவு, பக்கவாதம் சிறுநீரக செயலிழப்பு எப்படி ஏற்படுகிறது?",,,,"নতুুন কৰ'না ভাইৰাছে কেনেকৈ তেজ গোট মৰা, ষ্ট্ৰ'ক আৰু বৃক্ক বিকল কৰিব পাৰে? ",,ناول کورونا وائرس خون کے جمنے ، فالج اور گردے کی خرابی کا سبب کیسے بنتا ہے؟,,"हो कोरोनाविषाणू रगताच्यो गुठळयो, स्ट्रोक आनी मूत्रपिंड निकामी (किडनी फेल) कशी करता?","Como o novo coronavirus causa coágulos, AVCs e colapso renal? ",,"नोवेल कोरोन भाईरसले गर्दा कसरी रगत जम्ने, स्ट्रोक हुने तथा मृगौलाले काम नगर्ने हुन्छ?"
11,,String 3,Answer:,"
பதில்:",उत्तर:,ഉത്തരം ,,જવાબ:,ਉੱਤਰ:,பதில் :,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
11,,String 4,"In some patients with COVID-19, levels of cytokines produced by the immune system soar far beyond what is needed, damaging healthy tissues. Blood vessels leak, and blood clots are formed. If blood clots travel to the brain, they can cause strokes.","काही कोविड-१९ ग्रस्त रुग्णांमध्ये 'सायटोकाईन ' नावाच्या   प्रतिकार-संबंधित  प्रथिनांची  गरजेपेक्षा जास्त निर्मिती  होते. याचा दुष्परिणाम निरोगी अवयव, जसे किडनी वर  होतो व रक्त-वाहिन्यांमध्ये गळती होऊन रक्ताच्या गाठी  होऊ शकतात. अशा गाठी जर रक्तातून मेंदूपर्यंत पोहोचल्या, तर स्ट्रोक होऊ शकतो. ",,,,"કોવિડ-19 થી બીમાર થયેલા અમુક વ્યક્તિ માં, પ્રતિરક્ષા વ્યવસ્થા જરૂરત કરતા ઘણા વધારે સાઇટોકાઈન્સ બનાવી દે છે, જે સ્વસ્થ કોશમંડળ ને નુકસાન કરે છે. નસો ટપકવા લાગે છે, અને લોહી માં થર બની જાય છે. આ થર મસ્તિષ્ક સુધી પહોંચી જાય તો તે સ્ટ્રોક કરી શકે છે. ","ਕੋਵੀਡ -19 ਦੇ ਕੁਝ ਮਰੀਜ਼ਾਂ ਵਿੱਚ,  ਇਮਮੁਨ ਸਿਸਟਮ ਦੁਆਰਾ ਤਿਆਰ ਸਾਇਟੋਕਾਈਨਜ਼ ਦਾ ਪੱਧਰ ਬਹੁਤ ਜ਼ਿਆਦਾ ਲੋੜੀਂਦੀਆਂ ਚੀਜ਼ਾਂ ਤੋਂ ਵੱਧ ਜਾਂਦਾ ਹੈ, ਸਿਹਤਮੰਦ ਟਿਸ਼ੂਆਂ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾਉਂਦਾ ਹੈ। ਖੂਨ ਦੀਆਂ ਨਾੜੀਆਂ ਲੀਕ ਹੋ ਜਾਂਦੀਆਂ ਹਨ, ਅਤੇ ਖੂਨ ਦੇ ਗਤਲੇ ਬਣ ਜਾਂਦੇ ਹਨ. ਜੇ ਖੂਨ ਦੇ ਗਤਲੇ ਦਿਮਾਗ ਦੀ ਯਾਤਰਾ ਕਰਦੇ ਹਨ, ਤਾਂ ਉਹ ਅਧਰੰਗ ਦਾ ਕਾਰਨ ਬਣ ਸਕਦੇ ਹਨ ।","கோவிட் 19 நோயாளிகளில், நோயெதிர்ப்பு மண்டலத்தால் உற்பத்தி செய்யப்படும் சைட்டோகைன்களின் அளவு தேவைக்கு அப்பாற்பட்டது; ஆரோக்கியமான திசுக்களை சேதப்படுத்தும். இரத்த நாளங்கள் கசிந்து, இரத்தக் கட்டிகள் உருவாகின்றன. இரத்தக் கட்டிகள் மூளைக்குச் சென்றால், அவை பக்கவாதத்தை ஏற்படுத்தும்",,,,"ক'ভিড-১৯ আক্ৰান্ত কেতবোৰ ৰোগীৰ ক্ষেত্ৰত, তেজত প্ৰয়োজনীয় পৰিমাণতকৈ চাইট'কাইনৰ মাত্ৰা বহু অধিক পৰিমাণে উৎপাদিত হয়, যাৰ ফলত স্বাস্থ্যবান কলা ক্ষতিগ্ৰস্ত হয়। তেজ ৰক্তনলীৰ পৰা নিজৰি ওলায় আৰু গোট মাৰে। যদিহে গোট মৰা তেজ মস্তিষ্কলৈ স্থানান্তৰিত হয়, তেন্তে ষ্ট'ক হ'ব পাৰে।  ",,کوویڈ ١٩ کے مریضوں میں ، مدافعتی نظام کے ذریعہ تیار کردہ سائٹوکائنز کی سطح ضرورت سے کہیں زیادہ بڑھ جاتی ہے ، جس سے صحت مند نسیجوں کو نقصان ہوتا ہے۔ خون کی نالیوں کے اخراج ، اور خون کے لختے جمنے لگتے ہیں۔ اگر خون کے یہ لختے دماغ میں سفر کریں گے تو وہ فالج کا سبب بن سکتے ہیں۔,,काहीं कोविड-१९  ग्रस्त लोकांच्या आंगान सायटोकाईन (रोगप्रतिकारशक्तीखातीर लागणारें प्रोटीन) ची मात्रा जाय ताज्यापेक्षा बरीच वाढता आनी निरोगी अवयवांक नुकसान करूंक लागता.  शिरांतल्यान रगत गळुंक लागता आनी रगताच्यो गुठळयो जातात. ह्यो गुठळयो मेंदूपर्यंत पावल्यो जाल्यार स्ट्रोक जावु शकता. ,"Em alguns pacientes com o Covid-19, níveis de citocinas produzidos pelo sistema imunológico crescem muito além do necessário, danificando tecidos saudáveis. Pode ocorrer vazamento nos vasos capilares e coágulos se formam. Se esses coágulos forem transportados até o cérebro, eles podem causar um AVC. ",,कोभिड-१९ का केहि बिरामीहरुमा शरीरको प्रतिरख्य प्रणालीले साइटोकिन्स चाहिनेभन्दा धेरै उत्पादन गर्छ जसले स्वस्थ कोशिकालाई हानि गर्छ।रक्तनलीहरु फ़ुट्छन अनि रगत जम्छ। यदि यसरि जमेको रगत मस्तिस्कमा पुगे ब्रेन स्ट्रोक हुन्छ।
12,28qna_asymptomatic,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
12,,String 2,What is the role of an asymptomatic or presymptomatic carrier in the spread of COVID-19?,"कोविड-१९ च्या प्रसारामध्ये ""लक्षणं न दाखवणारी"" बाधित व्यक्ती आणि ""लक्षणं दाखवण्यापूर्वी"" बाधित व्यक्ती यांच्याकडून होणाऱ्या संसर्गाचा काय वाटा आहे?",COVID -19 के प्रसार में प्रीसिम्पटोमैटिक  (पूर्व-लक्षणात्मक) या एसिम्पटोमैटिक (लक्षणविहीन) वाहक की भूमिका क्या है?,,,લક્ષણવિહીન (એસ્મિપ્ટોમેટિક) અથવા પૂર્વ-લક્ષણાત્મક (પ્રીસ્મિપ્ટોમેટિક) વાહક (કેરિયર) ની કોવિડ-19 ના ફેલાવ માં શું ભૂમિકા હોય છે?, ਕੋਵਿਡ-19  ਦੇ ਲਕਸ਼ਨ ਤੋਂ ਬਿਨਾ  (ਅਸਿਮਪਟੋਮੈਟਿਕ) ਵਾਲੇ ਮਰੀਜ  ਯਾ ਰੋਗ ਦੇ ਲਕਸ਼ਨ ਤੋਂ ਪਹਿਲਾਂ ਵਾਲੇ (ਪ੍ਰੇਸਿਮਪਟੋਮੈਟਿਕ) ਮਰੀਜ ਕਿਸ ਤਰਾਹ ਇਹ ਬਿਮਾਰੀ ਫੈਲਾਅ ਸਕਦੇ ਹਨ? ,நோய்அறிகுறியற்ற மற்றும் நோய் அறிகுறி தோன்றாத நோயாளிகளால் கோவிட் 19 எப்படி பரவுகிறது?,,,,লক্ষণ নেদেখুৱা অথবা লক্ষণ দেখুওৱাৰ আগতে ৰোগী এজনে ক'ভিড-১৯ সংক্ৰমণৰ ক্ষেত্ৰত কি ভূমিকা পালন কৰে? ,,کوویڈ ١٩ کے پھیلاؤ میں اسیمپٹومیٹک یا پریسیپٹومیٹک کیریئر کا کیا کردار ہے؟,,लक्षणां नाशिल्ल्या (असिम्प्टोमॅटिक) आनी लक्षणां दाखवपापयलींच्या टप्प्यार आशिल्ल्या (प्री-सिम्प्टोमॅटिक) लोकांची कोविड-१९ च्या प्रसारान किदें भूमिका आसता?,Qual é a importância de uma pessoa assintomática ou pré-sintomática na disseminação do Covid-19? ,,"
कोभिड-१९ को संक्रमण फैलाउनमा एसिम्प्टोमेटिक  र प्रिसिम्प्टोमेटिक संक्रमित व्यक्तिको कसको भूमिका हुन्छ? "
12,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
